,total_population,Municipality_code,latitude,longitude
182,839.0,94886,3.3861624499,-67.5850799835
183,1182.0,94887,1.98105529404,-69.1144003559
184,812.0,94888,2.42144480568,-69.8400158499
185,4026.0,99624,4.97899582687,-70.6517555903
186,19788.0,99001,5.83652966876,-68.1412223364
187,9690.0,99524,5.52156131618,-69.6104813988
188,43138.0,99773,4.26245474633,-69.5214048347
189,156942.0,85001,5.24274476082,-72.2580285704
190,33440.0,85010,5.12612188623,-72.5482101665
191,2009.0,85015,5.22845340431,-72.8649680364
192,1227.0,85136,6.17828237251,-72.3469337724
193,13291.0,85139,4.6757694879,-72.2128027271
194,14828.0,85162,4.84130864156,-72.8473433982
195,8469.0,85225,5.52918123491,-72.0925193706
196,8142.0,85230,4.91513913346,-71.5987396574
197,10675.0,85263,5.66319495267,-71.9258080581
198,1247.0,85279,5.26306850746,-72.7708183072
199,3046.0,85300,4.8111901096,-72.9958065502
200,1675.0,85315,6.04990643452,-72.2107616316
201,7537.0,85325,5.23183622755,-71.5935463961
202,6317.0,85400,5.87892742356,-72.2006782207
203,21709.0,85410,4.69746369094,-72.629224357
204,11734.0,85430,5.3674202724,-71.1941634884
205,31727.0,85440,4.52830771916,-72.8231428099
206,11431.0,85125,6.10902142225,-71.1364550022
207,34446.0,85250,5.77991528141,-70.8694703701
208,42844.0,91001,-3.53005878352,-70.0451369098
209,1885.0,91263,-1.99723479453,-72.7236156554
210,2357.0,91405,-1.24049479816,-72.7604834078
211,3781.0,91407,-1.42714300067,-70.0383044467
212,166.0,91430,-0.1250163806,-71.1048780474
213,1023.0,91460,-0.68703755319,-71.1855045979
214,681.0,91530,-0.95214507309,-73.757227478
215,794.0,91536,-1.91085405985,-71.1484048951
216,7896.0,91540,-3.63132322198,-70.4719903926
217,1450.0,91669,-1.10103262403,-71.9389335822
218,3179.0,91798,-2.45179426393,-70.0065153529
219,27709.0,97001,1.01557185049,-70.4175528758
220,2827.0,97161,1.05276231447,-71.3309303499
221,3956.0,97511,0.19477000519,-70.9364722905
222,2010.0,97666,-0.719822209,-69.9077620146
223,432.0,97777,1.68161138141,-70.7061876108
224,756.0,97889,0.83331224127,-69.6186775439
225,48086.0,95001,2.48428609064,-71.9191699264
226,8648.0,95015,1.6136342842,-73.0342639003
227,11340.0,95025,2.08611536275,-71.5365668728
228,5007.0,95200,1.36397493216,-72.018109505
229,400436.0,17001,5.0834330102,-75.50727881
230,20712.0,17013,5.59677537514,-75.4503581963
231,20495.0,17486,5.18335858875,-75.5069297742
232,2081.0,17446,5.23558524426,-75.2831664792
233,12146.0,17444,5.30914249135,-75.0411789225
234,8485.0,17442,5.4926320291,-75.60209955
235,16532.0,17433,5.23295390987,-75.1526344721
236,5325.0,17388,5.39318571578,-75.5579107073
237,70802.0,17380,5.54052657695,-74.7122957459
238,9630.0,17272,5.285743777,-75.5897878392
239,48484.0,17174,4.98711727732,-75.6671247483
240,9690.0,17088,4.99467728028,-75.8122598918
241,9854.0,17050,5.26553996895,-75.4739261945
242,31811.0,17042,5.20029922022,-75.7528907794
243,5949.0,17495,5.6380623494,-74.854927072
244,12432.0,17877,5.04782205392,-75.8792969996
245,62831.0,17873,4.94021159134,-75.4354401366
246,8172.0,17867,5.4475428589,-74.8362250166
247,26571.0,17777,5.45295802044,-75.6403570454
248,4524.0,17665,5.07070413129,-75.813514981
249,17466.0,17662,5.5402858001,-74.9936848583
250,16759.0,17653,5.37033242493,-75.4096217663
251,9840.0,17616,5.11218739557,-75.7587979873
252,17342.0,17541,5.4071878358,-75.166839962
253,13560.0,17524,5.05034254272,-75.6617626589
254,13214.0,17513,5.5000350347,-75.482450565
255,48329.0,17614,5.44227541774,-75.7522049903
256,275641.0,63001,4.49950112763,-75.7248998518
257,2741.0,63111,4.36663238191,-75.7440373402
258,70662.0,63130,4.46787942841,-75.6567471902
259,27135.0,63190,4.60484534438,-75.6668844939
260,5535.0,63212,4.39597517649,-75.6513230769
261,11345.0,63272,4.66932534652,-75.6714694072
262,7121.0,63302,4.18010777259,-75.7605669475
263,32564.0,63401,4.43567415629,-75.8173213607
264,35324.0,63470,4.52189094529,-75.8180659422
265,4877.0,63548,4.30397933978,-75.683304171
266,29117.0,63594,4.61027349665,-75.7920508694
267,7578.0,63690,4.61131465391,-75.5309211218
268,409670.0,66001,4.78129027254,-75.7123613915
269,10707.0,66045,5.13963535692,-75.9535387047
270,5009.0,66075,4.91834967564,-75.9427538581
271,21450.0,66088,5.2003986956,-75.8679389335
272,194890.0,66170,4.84202114424,-75.6699365493
273,11532.0,66318,5.32029596632,-75.8043665892
274,6178.0,66383,4.98812767853,-76.008226782
275,25900.0,66400,4.90470418715,-75.8520816228
276,15455.0,66440,4.94293618498,-75.7532138959
277,16203.0,66456,5.41407814064,-75.9613538661
278,14429.0,66572,5.2862954078,-76.0735942121
279,25213.0,66594,5.32390686438,-75.7133968316
280,71174.0,66682,4.833789828,-75.5495017438
281,11787.0,66687,5.04597769633,-75.9819827277
282,2372330.0,05001,6.2575902592,-75.6110310655
283,23361.0,05101,5.84099566599,-76.0106525261
284,5946.0,05107,7.1117884615,-75.5622347375
285,7409.0,05113,6.8090648898,-75.9120659467
286,26460.0,05120,7.66515510527,-75.2236974414
287,15097.0,05093,6.18578361195,-75.9564924625
288,8589.0,05091,5.72708128537,-75.9868910738
289,481901.0,05088,6.35884108627,-75.5897358776
290,5349.0,05086,6.65366277534,-75.6538511989
291,44757.0,05079,6.44341793477,-75.3292408536
292,3819.0,05059,6.1636837578,-75.8099552812
293,6752.0,05055,5.70811452447,-75.0946979543
294,26289.0,05051,8.61139526228,-76.4147831727
295,6388.0,05044,6.30804025926,-75.912590871
296,23216.0,05042,6.53571157568,-75.9042665788
297,14502.0,05040,7.19311077805,-75.1084895387
298,10500.0,05038,6.8614987641,-75.3583159968
299,5027.0,05036,6.12143030262,-75.7159496625
300,38144.0,05034,5.6239522962,-75.924591012
301,20265.0,05031,6.97778884251,-74.9812392985
302,26821.0,05030,6.03292199422,-75.7080030982
303,3839.0,05021,6.36553412474,-75.090597022
304,2159.0,05004,6.62756937816,-76.0859775607
305,17599.0,05002,5.80372815403,-75.438473525
306,24067.0,05895,7.47400400569,-74.8584832583
307,17597.0,05893,6.92515931795,-74.1582404143
308,19010.0,05890,6.64532552437,-74.9227541034
309,36337.0,05887,6.98813090044,-75.4543995742
310,6234.0,05885,6.71687067936,-74.7556500198
311,10280.0,05861,5.95657635545,-75.7772242261
312,11134.0,05858,6.83653512204,-74.7540302029
313,5431.0,05856,5.65193780167,-75.6308341234
314,11511.0,05854,7.26540421316,-75.4009450153
315,6523.0,05842,6.91391692427,-76.1331851357
316,114434.0,05837,7.99806221866,-76.7238908935
317,4930.0,05819,7.01639706852,-75.71363382
318,8316.0,05809,6.05834997096,-75.7996600468
319,5663.0,05792,5.87106455701,-75.828711443
320,22826.0,05790,7.48887599771,-75.4018943772
321,15012.0,05789,5.67375857082,-75.7097997431
322,13748.0,05761,6.52016455156,-75.7458090327
323,31861.0,05756,5.76250368036,-75.0593590465
324,33690.0,05736,7.2669233905,-74.6216392631
325,30311.0,05697,6.1242094948,-75.2521227757
326,9786.0,05690,6.48104413166,-75.142600968
327,31067.0,05686,6.6758278248,-75.4381433318
328,22030.0,05679,5.87898495605,-75.5833037105
329,5057.0,05306,6.66309586283,-75.9480466276
330,18790.0,05282,5.88770293382,-75.6792624192
331,212437.0,05266,6.15439492152,-75.5468677877
332,8820.0,05264,6.59465600361,-75.5591308331
333,47642.0,05250,7.70463335111,-74.6642772634
334,10338.0,05240,6.32644492201,-75.7833117482
335,14208.0,05237,6.5054115242,-75.3668305117
336,76479.0,05212,6.35188289296,-75.5007563302
337,16095.0,05209,6.05746867838,-75.9001467834
338,3936.0,05206,6.37610618685,-75.2178590136
339,14743.0,05197,6.00559307403,-75.1601540329
340,8910.0,05190,6.55006543067,-75.0825411597
341,55564.0,05172,7.63166564395,-76.6396421267
342,84717.0,05154,7.86794179248,-75.0350182393
343,3343.0,05150,6.75482144207,-75.3059065391
344,53949.0,05148,5.97807884133,-75.2635361019
345,45936.0,05147,7.7891661139,-76.6566818903
346,4269.0,05145,5.55527529566,-75.6308209638
347,3967.0,05142,6.33797388009,-74.7335481727
348,13595.0,05138,6.81495002276,-76.0268963203
349,7432.0,05134,7.03601747787,-75.2876617785
350,76260.0,05129,6.05444684112,-75.626426743
351,7018.0,05125,6.42346363895,-75.9935149804
352,18051.0,05674,6.3103875219,-75.3274016277
353,17792.0,05670,6.44867515797,-74.9318588146
354,12578.0,05667,6.31074453,-74.998586516
355,30527.0,05665,8.37915694991,-76.3166423342
356,17119.0,05664,6.4586663082,-75.5624838975
357,11120.0,05660,6.01451681966,-74.9620054969
358,19992.0,05659,8.70714158273,-76.5324823432
359,2952.0,05658,6.82325891256,-75.6777082625
360,13158.0,05656,6.43830040901,-75.7031072723
361,5365.0,05652,5.87950561749,-74.9760326363
362,14480.0,05649,6.1937896593,-74.9073276897
363,6295.0,05647,6.91842723259,-75.6657757998
364,15782.0,05642,5.97050233369,-75.9813725114
365,7833.0,05628,6.9010005062,-75.7922275345
366,116400.0,05615,6.15078580701,-75.4107605236
367,20700.0,05607,6.05344425421,-75.515738045
368,22530.0,05604,6.99726737477,-74.5586565182
369,17231.0,05591,5.95483015065,-74.6861917978
370,12161.0,05585,6.12653913935,-74.7031772173
371,36801.0,05579,6.48192226711,-74.5287421006
372,7202.0,05576,5.8097018601,-75.860766666
373,7155.0,05543,7.04418005816,-75.8896884342
374,18010.0,05541,6.23239636775,-75.2235090551
375,2719.0,05501,6.61141808323,-75.7756709691
376,24066.0,05495,7.99046767878,-74.7924214919
377,38420.0,05490,8.49372855119,-76.6769958841
378,8603.0,05483,5.58127531225,-75.1945701855
379,12607.0,05480,7.32955784816,-76.4630656954
380,5881.0,05467,5.91685390321,-75.5197269264
381,55230.0,05440,6.1852051502,-75.3048793295
382,7297.0,05425,6.53457358536,-74.7141085415
383,7928.0,05411,6.72399093467,-75.7830004576
384,20769.0,05400,5.94043468516,-75.3542902273
385,7974.0,05390,5.74658395806,-75.6022020599
386,59386.0,05376,5.99252484314,-75.4308693474
387,11257.0,05368,5.76982053604,-75.7648825557
388,13541.0,05364,5.57444433877,-75.8184257485
389,263332.0,05360,6.17927943825,-75.6142036986
390,4950.0,05353,5.79703900241,-75.9066920285
391,4709.0,05347,6.21451178844,-75.7497100191
392,7038.0,05321,6.24577560943,-75.1585189234
393,42500.0,05318,6.2666257032,-75.4373080082
394,5452.0,05315,6.86157632511,-75.2259130273
395,9204.0,05313,6.12338072095,-75.1276364626
396,8235.0,05310,6.70956283921,-75.1927029118
397,49045.0,05308,6.37974589531,-75.4479574418
398,22717.0,05234,6.99224378213,-76.3142632841
399,20156.0,05284,6.69136477334,-76.3319965603
400,23784.0,05361,7.30294625918,-75.8503510567
401,29004.0,05847,6.3353413398,-76.2590648189
402,4642.0,05475,6.82877385546,-76.708613491
403,8139.0,05873,6.45335133435,-76.6950480171
404,113469.0,05045,7.89613638422,-76.5669525761
405,48257.0,27615,7.38988793745,-77.2406748332
406,120679.0,27001,5.93895298515,-76.6636784459
407,12095.0,27006,8.43419580192,-77.2896789248
408,23954.0,27025,5.63674098866,-77.0842153989
409,5519.0,27050,5.56064017898,-76.6061156625
410,10583.0,27073,5.50311977242,-76.1979690651
411,9417.0,27075,6.2901510466,-77.3538277986
412,18561.0,27077,5.01184122749,-77.2176717839
413,11933.0,27099,6.47466688543,-77.0993302504
414,5663.0,27135,5.35966196729,-76.7725562444
415,13189.0,27150,7.03364654086,-76.9742301641
416,4683.0,27160,5.38982822888,-76.5226423682
417,12251.0,27205,5.07371598749,-76.5275063197
418,7900.0,27245,5.81093836421,-76.1918944237
419,11579.0,27250,4.24716134402,-76.9626014261
420,28087.0,27361,4.73983990424,-76.8691579474
421,4108.0,27372,7.10333886802,-77.6797366214
422,8928.0,27413,5.5851011786,-76.3854444882
423,10140.0,27425,6.03388009808,-76.6734697026
424,13423.0,27430,5.11039224293,-76.9959307524
425,9073.0,27450,4.8152497861,-76.8040867882
426,8164.0,27491,4.85338662676,-76.6182366849
427,3456.0,27495,5.69006495855,-77.2929748581
428,4525.0,27580,5.17267254585,-76.4844611864
429,7974.0,27600,5.56753333663,-76.8115708439
430,4721.0,27660,4.95874134519,-76.2800236059
431,2768.0,27745,4.5944151575,-76.5419445935
432,17000.0,27787,5.26610157976,-76.3310954721
433,12192.0,27800,8.11728107938,-77.1037272298
434,6590.0,27810,5.28527811769,-76.6453978134
435,138091.0,52835,1.63610339225,-78.6139051371
436,433723.0,23001,8.58469801555,-75.9505507875
437,38816.0,23068,8.26576868814,-75.0486843568
438,18344.0,23079,8.19139795296,-75.4338253188
439,14831.0,23090,8.72409580047,-76.237790807
440,96252.0,23162,8.89101333844,-75.8346127679
441,13492.0,23168,9.11024941038,-75.6523735106
442,42680.0,23182,9.02749349205,-75.3566768554
443,56278.0,23189,8.84181189399,-75.6077982917
444,16215.0,23300,9.05695248934,-75.7789398561
445,13742.0,23350,8.05221842157,-75.2881602199
446,98491.0,23417,9.16503499766,-75.909781236
447,15886.0,23419,8.83903704283,-76.2949264839
448,16264.0,23464,9.26546162123,-75.6509087619
449,25095.0,23500,9.19051534266,-76.1193170936
450,60259.0,23555,8.29029674623,-75.6123781433
451,26968.0,23570,8.48133956804,-75.4051615421
452,19474.0,23574,8.98866773063,-76.1940591244
453,14705.0,23586,9.28238612679,-75.7212939205
454,94020.0,23660,8.7990070159,-75.4292566392
455,42046.0,23670,9.12129635319,-75.5209171125
456,29028.0,23672,9.35966748909,-75.7870025207
457,29437.0,23675,9.33009832923,-75.9762385776
458,23532.0,23678,8.70646426312,-75.6925182448
459,11059.0,23682,7.75305439475,-75.5672473972
460,40617.0,23686,8.98777739241,-75.909587708
461,40033.0,23815,9.22463080319,-75.544105925
462,30545.0,23855,8.21990412773,-76.2213286
463,71824.0,23466,7.8863378122,-75.7606750516
464,35362.0,23580,7.71151573618,-75.7712322384
465,86578.0,23807,7.81389682861,-76.1684667801
466,1120103.0,08001,10.9815205105,-74.8277154388
467,61527.0,08078,10.7932930189,-74.9221949061
468,22810.0,08137,10.402620856,-74.8784083209
469,15631.0,08141,10.4890204714,-74.8775662684
470,55123.0,08296,10.8977199073,-74.8870878763
471,18828.0,08372,10.8230650323,-75.0784190391
472,27647.0,08421,10.6350311615,-75.1540274101
473,119920.0,08433,10.8482886419,-74.8061755489
474,19233.0,08436,10.4541455461,-74.9847736686
475,27098.0,08520,10.6948120777,-74.7701509028
476,5636.0,08549,10.7407895939,-75.1436603351
477,16222.0,08558,10.7674014141,-74.854148436
478,23420.0,08560,10.5946510209,-74.7984731584
479,47899.0,08573,11.0044225967,-74.9074058039
480,25467.0,08606,10.5075705133,-75.1218805271
481,32026.0,08634,10.7989401513,-74.7687966034
482,92480.0,08638,10.6225077735,-74.9551054159
483,12650.0,08675,10.3536419203,-74.9654117866
484,28693.0,08685,10.7440482372,-74.7947955323
485,535984.0,08758,10.9069065952,-74.7784249032
486,11607.0,08770,10.3108503475,-74.9071330843
487,12718.0,08832,10.9072193839,-74.9842329299
488,9543.0,08849,10.7405226569,-74.9826741262
489,887946.0,13001,10.4491887709,-75.469902233
490,18879.0,13006,8.62294326201,-74.4780594483
491,9009.0,13030,8.75746886326,-74.1951581059
492,7169.0,13042,8.34101799526,-74.106959439
493,67118.0,13052,10.1642212248,-75.3712178842
494,8058.0,13062,10.2417180472,-75.0269042151
495,14435.0,13074,8.83618723666,-74.1627117162
496,22202.0,13140,10.2188284924,-75.0011947454
497,6874.0,13160,7.23922914616,-74.1001404292
498,13120.0,13188,9.23526859761,-74.6884096148
499,15012.0,13212,9.54004751469,-74.8944563465
500,13821.0,13222,10.5566369545,-75.314466528
501,67461.0,13244,9.69981987635,-75.1579357256
502,7861.0,13248,10.0348367235,-74.9281107168
503,7234.0,13268,8.86481878617,-73.9123014716
504,26075.0,13433,10.1782139076,-75.1797816096
505,9720.0,13440,9.05460188904,-74.225847059
506,45324.0,13442,9.97601716845,-75.3438026486
507,13470.0,13458,8.0171002399,-74.4634291122
508,43217.0,13468,9.14251206434,-74.545199057
509,18678.0,13473,8.25370006096,-73.9713458991
510,7899.0,13490,8.50613475986,-74.1158891151
511,23349.0,13549,8.87158971276,-74.3858782877
